央视频道,#genre#
CCTV1HD,http://192.168.66.1:7000/udp/239.253.152.96:8550
CCTV2HD,http://192.168.66.1:7000/udp/239.69.1.102:10250
CCTV3HD,http://192.168.66.1:7000/udp/239.69.1.122:10370
CCTV4HD,http://192.168.66.1:7000/udp/239.69.1.138:10466
CCTV4K,http://192.168.66.1:7000/udp/239.69.1.12:9712
CCTV-5HD,http://192.168.66.1:7000/udp/239.69.1.123:10376
CCTV-5+HD,http://192.168.66.1:7000/udp/239.253.152.234:9484
CCTV6HD,http://192.168.66.1:7000/udp/239.69.1.124:10382
CCTV7HD,http://192.168.66.1:7000/udp/239.69.1.103:10256
CCTV8HD,http://192.168.66.1:7000/udp/239.69.1.125:10388
CCTV9HD,http://192.168.66.1:7000/udp/239.69.1.104:10262
CCTV10HD,http://192.168.66.1:7000/udp/239.69.1.105:10268
CCTV11HD,http://192.168.66.1:7000/udp/239.69.1.154:10560
CCTV12HD,http://192.168.66.1:7000/udp/239.69.1.106:10274
CCTV13HD,http://192.168.66.1:7000/udp/239.253.152.161:9040
CCTV14HD,http://192.168.66.1:7000/udp/239.69.1.107:10280
CCTV15HD,http://192.168.66.1:7000/udp/239.69.1.155:10566
CCTV16HD,http://192.168.66.1:7000/udp/239.69.1.247:11124
CCTV164K,http://192.168.66.1:7000/udp/239.69.1.249:11136
CCTV17HD,http://192.168.66.1:7000/udp/239.69.1.152:10548
怀旧剧场,http://192.168.66.1:7000/udp/239.69.1.89:10174
风云音乐,http://192.168.66.1:7000/udp/239.69.1.90:10180
风云足球HD,http://192.168.66.1:7000/udp/239.69.1.81:10126
世界地理HD,http://192.168.66.1:7000/udp/239.69.1.91:10186
高尔夫网球HD,http://192.168.66.1:7000/udp/239.69.1.83:10138
第一剧场HD,http://192.168.66.1:7000/udp/239.69.1.74:10084
CHC高清电影HD,http://192.168.66.1:7000/udp/239.69.1.241:11088
CHC动作电影HD,http://192.168.66.1:7000/udp/239.69.1.242:11094
CHC家庭影院HD,http://192.168.66.1:7000/udp/239.69.1.243:11100
兵器科技HD,http://192.168.66.1:7000/udp/239.69.1.79:10114
CETV-1,http://192.168.66.1:7000/udp/239.69.1.110:10298
CETV-2,http://192.168.66.1:7000/udp/239.69.1.183:10734
CETV-4,http://192.168.66.1:7000/udp/239.69.1.175:10686

湖北,#genre#
湖北经视HD,http://192.168.66.1:7000/udp/239.69.1.41:9886
湖北综合HD,http://192.168.66.1:7000/udp/239.69.1.42:9892
湖北垄上HD,http://192.168.66.1:7000/udp/239.69.1.43:9898
湖北公共HD,http://192.168.66.1:7000/udp/239.69.1.40:9880
湖北影视HD,http://192.168.66.1:7000/udp/239.69.1.204:10866
湖北教育HD,http://192.168.66.1:7000/udp/239.69.1.206:10878
湖北生活HD,http://192.168.66.1:7000/udp/239.69.1.205:10872

卫视,#genre#
http://192.168.66.1:7000/udp/239.253.152.115:8664
湖南卫视HD,http://192.168.66.1:7000/udp/239.253.152.139:8908
浙江卫视HD,http://192.168.66.1:7000/udp/239.253.152.143:8932
江苏卫视HD,http://192.168.66.1:7000/udp/239.253.152.144:8938
东方卫视HD,http://192.168.66.1:7000/udp/239.253.152.142:8926
北京卫视HD,http://192.168.66.1:7000/udp/239.253.152.141:8920
广东卫视HD,http://192.168.66.1:7000/udp/239.253.152.140:8914
深圳卫视HD,http://192.168.66.1:7000/udp/239.253.152.137:8896
黑龙江卫视HD,http://192.168.66.1:7000/udp/239.253.152.138:8902
天津卫视HD,http://192.168.66.1:7000/udp/239.69.1.68:10048
山东卫视HD,http://192.168.66.1:7000/udp/239.69.1.69:10054
安徽卫视HD,http://192.168.66.1:7000/udp/239.69.1.70:10060
辽宁卫视HD,http://192.168.66.1:7000/udp/239.69.1.71:10066
东南卫视HD,http://192.168.66.1:7000/udp/239.69.1.108:10286
江西卫视HD,http://192.168.66.1:7000/udp/239.69.1.126:10394
重庆卫视HD,http://192.168.66.1:7000/udp/239.69.1.149:10530
贵州卫视HD,http://192.168.66.1:7000/udp/239.69.1.150:10536
河南卫视HD,http://192.168.66.1:7000/udp/239.69.1.168:10644
四川卫视HD,http://192.168.66.1:7000/udp/239.69.1.169:10650
河北卫视HD,http://192.168.66.1:7000/udp/239.69.1.157:10578
海南卫视HD,http://192.168.66.1:7000/udp/239.69.1.151:10542
广西卫视HD,http://192.168.66.1:7000/udp/239.69.1.191:10788
吉林卫视HD,http://192.168.66.1:7000/udp/239.69.1.212:10914
卡酷少儿HD,http://192.168.66.1:7000/udp/239.69.1.193:10800
金鹰卡通HD,http://192.168.66.1:7000/udp/239.69.1.248:11130
金鹰纪实HD,http://192.168.66.1:7000/udp/239.69.1.109:10292
CCTV4中文国际欧洲HD,http://192.168.66.1:7000/udp/239.69.1.231:11028
CCTV4中文国际美洲HD,http://192.168.66.1:7000/udp/239.69.1.232:11034
CGTN英文纪录HD,http://192.168.66.1:7000/udp/239.69.1.233:11040

地方,#genre#
山东教育卫视,http://192.168.66.1:7000/udp/239.69.1.228:11010
环球奇观,http://192.168.66.1:7000/udp/239.253.152.192:9232
国学频道,http://192.168.66.1:7000/udp/239.253.152.194:9244
财富天下,http://192.168.66.1:7000/udp/239.253.152.210:9340
快乐垂钓HD,http://192.168.66.1:7000/udp/239.69.1.142:10488
先锋乒羽,http://192.168.66.1:7000/udp/239.69.1.143:10494
汽摩,http://192.168.66.1:7000/udp/239.69.1.84:10144
老故事,http://192.168.66.1:7000/udp/239.69.1.85:10150
茶HD,http://192.168.66.1:7000/udp/239.69.1.144:10500
四海钓鱼,http://192.168.66.1:7000/udp/239.69.1.244:11106
梨园HD,http://192.168.66.1:7000/udp/239.69.1.33:9838
文物宝库HD,http://192.168.66.1:7000/udp/239.69.1.46:9916
武术世界HD,http://192.168.66.1:7000/udp/239.69.1.47:9922
电视指南,http://192.168.66.1:7000/udp/239.69.1.87:10162
新动漫,http://192.168.66.1:7000/udp/239.69.1.187:10764
女性时尚,http://192.168.66.1:7000/udp/239.69.1.86:10156
书画,http://192.168.66.1:7000/udp/239.69.1.189:10776

宜昌县级,#genre#
宜昌综合HD,http://192.168.66.1:7000/udp/239.69.1.67:10042
宜昌旅游生活HD,http://192.168.66.1:7000/udp/239.69.1.75:10090
宜昌当阳综合,http://192.168.66.1:7000/udp/239.69.1.9:9694
宜昌五峰综合,http://192.168.66.1:7000/udp/239.69.1.38:9868
远安综合,http://192.168.66.1:7000/udp/239.69.1.101:10244
宜昌夷陵综合HD,http://192.168.66.1:7000/udp/239.69.1.238:11070
宜昌秭归新闻综合HD,http://192.168.66.1:7000/udp/239.69.1.239:11076
宜都综合HD,http://yidushi-live21.cjyun.org/10092/s10092-yidushitv01.m3u8?auth_key=1735660799-0-0-f29f0d99f876e49e55132b30d52133db
宜昌枝江综合HD,http://192.168.66.1:7000/udp/239.69.1.240:11082
宜昌长阳综合HD,http://192.168.66.1:7000/udp/239.69.1.246:11118
宜昌兴山综合HD,http://192.168.66.1:7000/udp/239.69.1.250:11142
